hs6,isic4
010121,0142
010129,0142
010130,0142
010190,0142
010221,0141
010229,0141
010231,0141
010239,0141
010290,0141
010310,0145
010391,0145
010392,0145
010410,0144
010420,0144
010511,0146
010512,0146
010513,0146
010514,0146
010515,0146
010594,0146
010599,0146
010611,0149
010612,0149
010613,0143
010614,0149
010619,0149
010620,0149
010631,0149
010632,0149
010633,0149
010639,0149
010641,0149
010649,0149
010690,0149
020110,1010
020120,1010
020130,1010
020210,1010
020220,1010
020230,1010
020311,1010
020312,1010
020319,1010
020321,1010
020322,1010
020329,1010
020410,1010
020421,1010
020422,1010
020423,1010
020430,1010
020441,1010
020442,1010
020443,1010
020450,1010
020500,1010
020610,1010
020621,1010
020622,1010
020629,1010
020630,1010
020641,1010
020649,1010
020680,1010
020690,1010
020711,1010
020712,1010
020713,1010
020714,1010
020724,1010
020725,1010
020726,1010
020727,1010
020741,1010
020742,1010
020743,1010
020744,1010
020745,1010
020751,1010
020752,1010
020753,1010
020754,1010
020755,1010
020760,1010
020810,1010
020830,1010
020840,1010
020850,1010
020860,1010
020890,1010
020910,1010
020990,1010
021011,1010
021012,1010
021019,1010
021020,1010
021091,1010
021092,1010
021093,1010
021099,1010
030111,0311
030119,0311
030191,0311
030192,0311
030193,0311
030194,0311
030195,0311
030199,0311
030211,0311
030213,0311
030214,0311
030219,0311
030221,0311
030222,0311
030223,0311
030224,0311
030229,0311
030231,0311
030232,0311
030233,0311
030234,0311
030235,0311
030236,0311
030239,0311
030241,0311
030242,0311
030243,0311
030244,0311
030245,0311
030246,0311
030247,0311
030251,0311
030252,0311
030253,0311
030254,0311
030255,0311
030256,0311
030259,0311
030271,0312
030272,0312
030273,0312
030274,0312
030279,0312
030281,0311
030282,0311
030283,0311
030284,0311
030285,0311
030289,0312
030290,1020
030311,1020
030312,1020
030313,1020
030314,1020
030319,1020
030323,1020
030324,1020
030325,1020
030326,1020
030329,1020
030331,1020
030332,1020
030333,1020
030334,1020
030339,1020
030341,1020
030342,1020
030343,1020
030344,1020
030345,1020
030346,1020
030349,1020
030351,1020
030353,1020
030354,1020
030355,1020
030356,1020
030357,1020
030363,1020
030364,1020
030365,1020
030366,1020
030367,1020
030368,1020
030369,1020
030381,1020
030382,1020
030383,1020
030384,1020
030389,1020
030390,1020
030431,1020
030432,1020
030433,1020
030439,1020
030441,1020
030442,1020
030443,1020
030444,1020
030445,1020
030446,1020
030449,1020
030451,1020
030452,1020
030453,1020
030454,1020
030455,1020
030459,1020
030461,1020
030462,1020
030463,1020
030469,1020
030471,1020
030472,1020
030473,1020
030474,1020
030475,1020
030479,1020
030481,1020
030482,1020
030483,1020
030484,1020
030485,1020
030486,1020
030487,1020
030489,1020
030491,1020
030492,1020
030493,1020
030494,1020
030495,1020
030499,1020
030510,1020
030520,1020
030531,1020
030532,1020
030539,1020
030541,1020
030542,1020
030543,1020
030544,1020
030549,1020
030551,1020
030559,1020
030561,1020
030562,1020
030563,1020
030564,1020
030569,1020
030571,1020
030572,1020
030579,1020
030611,1020
030612,1020
030614,1020
030615,1020
030616,1020
030617,1020
030619,1020
030621,0311
030622,0311
030624,0311
030625,0311
030626,0311
030627,0311
030629,0311
030711,0311
030719,1020
030721,0311
030729,1020
030731,0311
030739,1020
030741,0321
030749,1020
030751,0311
030759,1020
030760,0149
030771,0311
030779,1020
030781,0311
030789,1020
030791,0311
030799,1020
030811,0311
030819,1020
030821,0311
030829,1020
030830,0311
030890,0311
040110,1050
040120,0141
040140,0141
040150,0141
040210,1050
040221,1050
040229,1050
040291,1050
040299,1050
040310,1050
040390,1050
040410,1050
040490,1050
040510,1050
040520,1050
040590,1050
040610,1050
040620,1050
040630,1050
040640,1050
040690,1050
040711,0146
040719,0146
040721,0146
040729,0146
040790,1079
040811,1079
040819,1079
040891,1079
040899,1079
040900,0149
041000,0149
050100,3290
050210,n/a
050290,n/a
050400,1010
050510,n/a
050590,n/a
050610,n/a
050690,n/a
050710,n/a
050790,n/a
050800,0311
051000,n/a
051110,0141
051191,1020
051199,0144
060110,0130
060120,0130
060210,0130
060220,0130
060230,0130
060240,0130
060290,0130
060311,0119
060312,0119
060313,0119
060314,0119
060315,0119
060319,0119
060390,0119
060420,0129
060490,0230
070110,0113
070190,0113
070200,0113
070310,0113
070320,0113
070390,0113
070410,0113
070420,0113
070490,0113
070511,0113
070519,0113
070521,0113
070529,0113
070610,0113
070690,0113
070700,0113
070810,0111
070820,0111
070890,0111
070920,0113
070930,0113
070940,0113
070951,0113
070959,0113
070960,0128
070970,0113
070991,0113
070992,0126
070993,0113
070999,0113
071010,1030
071021,1030
071022,1030
071029,1030
071030,1030
071040,1030
071080,1030
071090,1030
071120,1030
071140,1030
071151,1030
071159,1030
071190,1030
071220,1030
071231,1030
071232,1030
071233,1030
071239,1030
071290,1030
071310,0111
071320,0111
071331,0111
071332,0111
071333,0111
071334,0111
071335,0111
071339,0111
071340,0111
071350,0111
071360,0111
071390,0111
071410,0113
071420,0113
071430,0113
071440,0113
071450,0113
071490,0113
080111,1030
080112,0126
080119,0126
080121,0125
080122,1030
080131,0125
080132,1030
080211,0125
080212,1030
080221,0125
080222,1030
080231,0125
080232,1030
080241,0125
080242,1030
080251,0125
080252,1030
080261,0125
080262,1030
080270,0125
080280,0125
080290,0125
080310,0122
080390,0122
080410,0122
080420,0122
080430,0122
080440,0122
080450,0122
080510,0123
080520,0123
080540,0123
080550,0123
080590,0123
080610,0121
080620,1030
080711,0113
080719,0113
080720,0122
080810,0124
080830,0124
080840,0124
080910,0124
080921,0124
080929,0124
080930,0124
080940,0124
081010,0125
081020,0125
081030,0125
081040,0125
081050,0125
081060,0122
081070,0125
081090,0122
081110,1030
081120,1030
