kbli,n_item,n_item_kg,cakupan_nilai_terbit,pangsa_item_kg,Pd_rp_per_kg,Pd_item_dominan_rp_per_kg,item_dominan,nilai_produksi_kg_000rp
10110,4,4,1.0,1.0,44204.1,138199.4,Hasil ikutan/sisa industri pemotongan hewan,6220937
10120,7,7,0.998,1.0,1213.5,23701.5,Ayam tanpa tulang beku,159543602
10130,28,23,0.586,0.953,6221.8,4392.7,Bakso sapi,1108706177
10211,18,10,1.0,0.892,1557.2,13712.1,Ikan teri asin/kering,368749888
10212,5,5,0.954,1.0,29117.4,11346.4,Ikan tuna lainnya beku,291064638
10213,50,36,0.999,0.911,168.7,9240.9,Ikan lainnya beku,9670690051
10214,20,13,1.0,0.767,14930.1,12551.7,Ikan pindang lainnya,362154084
10217,2,2,1.0,1.0,10822.6,6492.6,Bakso ikan,18376556
10218,3,2,0.714,0.958,4835.1,6361.9,Rajungan beku,42768904
10219,38,25,0.967,0.884,292.2,43933.9,Ikan lainnya dalam kaleng,2067403456
10221,33,20,1.0,0.657,1924.0,206339.5,Ikan tuna dalam kaleng,4588465742
10222,2,2,0.999,1.0,52160.0,53224.4,Udang lainnya dalam kaleng,1056094702
10291,13,12,0.888,0.989,95.9,229.0,Ikan lainnya yang diasinkan dan dikeringkan,416647484
10293,32,26,0.763,0.941,6.6,589.0,Udang putih kecil/biasa beku,6683422304
10299,23,16,0.741,0.94,0.1,78.4,Rajungan beku,386848125
10311,10,8,1.0,0.894,839.6,557.5,Manisan buah-buahan lainnya,40764853
10312,28,11,0.407,0.37,5424.1,5722.2,Sauce tomat,128272084
10314,6,3,0.996,0.78,44966.9,46532.0,Nanas dalam kaleng,361365534
10320,12,3,1.0,0.013,40224.2,37762.9,Jamur dalam kaleng,26386213
10330,11,4,1.0,0.055,83975.6,79562.4,Pengolahan dan pengawetan lainnya untuk buah-,2895646
10392,25,6,0.666,0.529,6282.6,7239.9,Tahu dari kedele,438052940
10399,5,2,0.852,0.846,32329.8,33208.6,Tepung kelapa,18952995
10411,13,5,1.0,0.001,9318.4,19505.2,Minyak hati ikan,29336673
10421,5,4,0.976,0.959,3034.5,3105.2,Kopra jemur,125651441
10422,14,8,1.0,0.49,4220.4,7555.0,Minyak kasar/mentah kelapa/kopra,1951171575
10423,14,5,1.0,0.74,43.9,8449.7,Minyak goreng kelapa,6666131919
10424,6,6,1.0,1.0,5933.4,5244.8,Tepung kelapa,1193997352
10431,19,8,0.043,0.327,1835.8,1953.0,Hasil ikutan/sisa industri minyak goreng dari minyak Offal of palm oil,4243606423
10432,27,16,0.487,0.488,6761.0,10304.4,Minyak goreng kelapa sawit,16662678475
