hs6,cif_usd,kg,Pm_usd_per_kg,Pm_rp_per_kg,isic3,isic4,bec1,intermediate
010210,74202660.0,24762862.0,2.99653,28127.32,0121,0141|0142|0144,4,0
010290,211708905.0,76647628.0,2.762106,25926.87,0121,0141|0142|0144,1,0
010310,15980.0,1600.0,9.9875,93748.97,0122,0143|0145|0146|0149|0321|0322,4,0
010420,183544.0,6561.0,27.975004,262591.01,0121,0141|0142|0144,1,0
010511,13310.0,409.0,32.542787,305467.1,0122,0143|0145|0146|0149|0321|0322,1,0
010519,3706.0,109.0,34.0,319145.42,0122,0143|0145|0146|0149|0321|0322,1,0
010619,669.0,21.0,31.857143,299031.21,0122,0143|0145|0146|0149|0321|0322,1,0
010620,22435.0,811.0,27.663379,259665.9,0122,0143|0145|0146|0149|0321|0322,1,0
010632,25773.0,1025.0,25.14439,236021.09,0122,0143|0145|0146|0149|0321|0322,1,0
010639,357562.0,16531.0,21.629786,203030.8,0122,0143|0145|0146|0149|0321|0322,1,0
010690,50879.0,1977.0,25.735458,241569.22,0122,0143|0145|0146|0149|0321|0322,1,0
020120,128112.0,29685.0,4.315715,40510.02,1511,1010,1,0
020130,11371045.0,2047865.0,5.552634,52120.52,1511,1010,1,0
020210,534643.0,124494.0,4.294528,40311.15,1511,1010,1,0
020220,2789667.0,927366.0,3.008162,28236.5,1511,1010,1,0
020230,124390570.0,30377029.0,4.094889,38437.21,1511,1010,1,0
020319,583007.0,104725.0,5.567028,52255.63,1511,1010,1,0
020322,140772.0,17908.0,7.860844,73786.84,1511,1010,1,0
020329,84670.0,17327.0,4.886593,45868.64,1511,1010,1,0
020410,139528.0,27583.0,5.058478,47482.06,1511,1010,1,0
020422,302075.0,34989.0,8.633428,81038.79,1511,1010,1,0
020423,96848.0,10377.0,9.332948,87604.93,1511,1010,1,0
020430,116493.0,40000.0,2.912325,27336.92,1511,1010,1,0
020441,741662.0,135837.0,5.459941,51250.45,1511,1010,1,0
020442,4154967.0,528966.0,7.854885,73730.9,1511,1010,1,0
020443,2289268.0,347008.0,6.597162,61925.12,1511,1010,1,0
020450,242163.0,50527.0,4.792744,44987.72,1511,1010,1,0
020610,7948.0,2913.0,2.728459,25611.03,1511,1010,1,0
020621,1231365.0,459997.0,2.676898,25127.05,1511,1010,1,0
020622,2786507.0,1365037.0,2.041342,19161.32,1511,1010,1,0
020629,12765708.0,5005601.0,2.550285,23938.58,1511,1010,1,0
020714,34785.0,6797.0,5.117699,48037.95,1511,1010,1,0
020725,455328.0,153202.0,2.972076,27897.78,1511,1010,1,0
020733,392494.0,266532.0,1.472596,13822.72,1511,1010,1,0
020734,250698.0,9863.0,25.418027,238589.61,1511,1010,1,0
020736,75834.0,3076.0,24.653446,231412.78,1511,1010,1,0
021019,224.0,1.0,224.0,2102605.12,1511,1010,1,0
