isic4,divisi,cif_usd,kg,Pm_usd_per_kg,Pm_rp_per_kg,cif_usd_intermediate,Pm_intermed_usd_per_kg,Pm_intermed_rp_per_kg,manufaktur
0111,01,456235312.45,948001801.091,0.48126,4517.41,106060591.27,0.639445,6002.24,0
0112,01,456235312.45,948001801.091,0.48126,4517.41,106060591.27,0.639445,6002.24,0
0113,01,509146941.17,1040009621.805,0.48956,4595.32,108374896.42,0.652123,6121.24,0
0114,01,456235312.45,948001801.091,0.48126,4517.41,106060591.27,0.639445,6002.24,0
0115,01,456235312.45,948001801.091,0.48126,4517.41,106060591.27,0.639445,6002.24,0
0116,01,456235312.45,948001801.091,0.48126,4517.41,106060591.27,0.639445,6002.24,0
0119,01,509146941.17,1040009621.805,0.48956,4595.32,108374896.42,0.652123,6121.24,0
0125,01,52911628.71,92007820.714,0.575078,5398.04,2314305.14,7.133415,66958.73,0
0126,01,456235312.45,948001801.091,0.48126,4517.41,106060591.27,0.639445,6002.24,0
0128,01,509146941.17,1040009621.805,0.48956,4595.32,108374896.42,0.652123,6121.24,0
0129,01,523595745.0,1041845133.472,0.502566,4717.4,122767854.75,0.730738,6859.17,0
0130,01,67360432.55,93843332.381,0.717797,6737.69,16707263.48,7.80022,73217.77,0
0141,01,95410511.67,33805740.0,2.822317,26492.04,45475.33,807.254438,7577398.72,0
0142,01,95410511.67,33805740.0,2.822317,26492.04,45475.33,807.254438,7577398.72,0
0143,01,1696213.83,406562.167,4.17209,39161.86,3984.5,4.346727,40801.12,0
0144,01,95410511.67,33805740.0,2.822317,26492.04,45475.33,807.254438,7577398.72,0
0145,01,1696213.83,406562.167,4.17209,39161.86,3984.5,4.346727,40801.12,0
0146,01,1696213.83,406562.167,4.17209,39161.86,3984.5,4.346727,40801.12,0
0149,01,1696213.83,406562.167,4.17209,39161.86,3984.5,4.346727,40801.12,0
0163,01,456235312.45,948001801.091,0.48126,4517.41,106060591.27,0.639445,6002.24,0
0210,02,14448803.83,1835511.667,7.871813,73889.79,14392958.33,7.919249,74335.06,0
0220,02,14448803.83,1835511.667,7.871813,73889.79,14392958.33,7.919249,74335.06,0
0230,02,67360432.55,93843332.381,0.717797,6737.69,16707263.48,7.80022,73217.77,0
0240,02,14448803.83,1835511.667,7.871813,73889.79,14392958.33,7.919249,74335.06,0
0321,03,1696213.83,406562.167,4.17209,39161.86,3984.5,4.346727,40801.12,0
0322,03,1696213.83,406562.167,4.17209,39161.86,3984.5,4.346727,40801.12,0
0610,06,3609612083.33,4192045457.0,0.861062,8082.47,718877.33,0.588973,5528.47,0
0620,06,3609612083.33,4192045457.0,0.861062,8082.47,718877.33,0.588973,5528.47,0
0710,07,101559163.0,486699604.0,0.208669,1958.7,101559163.0,0.208669,1958.7,0
0721,07,13500.0,5000.0,2.7,25343.9,13500.0,2.7,25343.9,0
0729,07,75487054.0,35888683.5,2.103366,19743.52,75487054.0,2.103366,19743.52,0
0810,08,148884069.83,548617165.0,0.271381,2547.35,148884069.83,0.271381,2547.35,0
0891,08,169528299.0,899947006.0,0.188376,1768.21,169528299.0,0.188376,1768.21,0
0892,08,79317.0,212354.0,0.373513,3506.03,0,,,0
0893,08,441981.0,5238997.0,0.084364,791.89,441981.0,0.084364,791.89,0
0899,08,77317108.33,263579586.0,0.293335,2753.43,77317108.33,0.293335,2753.43,0
0910,09,3609612083.33,4192045457.0,0.861062,8082.47,718877.33,0.588973,5528.47,0
0990,09,495993383.83,1976608809.5,0.250931,2355.4,495914066.83,0.250918,2355.28,0
1010,10,225636432.0,109349878.0,2.063436,19368.71,49350845.0,0.763845,7169.93,1
1020,10,163045287.0,127630743.5,1.277477,11991.2,53657930.5,1.125772,10567.21,1
1030,10,287727326.5,115303202.75,2.495398,23423.37,0,,,1
1040,10,2076753477.0,3773697587.0,0.550323,5165.68,1921447242.0,0.519432,4875.72,1
1050,10,1185798287.0,381310292.0,3.109799,29190.53,26910542.0,8.544109,80200.39,1
1061,10,1141075542.0,2290611442.0,0.498153,4675.98,0,,,1
1062,10,664953735.0,1213997386.0,0.547739,5141.42,537597854.0,0.520129,4882.26,1
1071,10,245320249.5,72378081.25,3.389427,31815.3,0,,,1
1072,10,1682922241.0,2918469511.0,0.576645,5412.76,0,,,1
1073,10,152474045.0,37043349.0,4.116098,38636.29,0,,,1
1074,10,8134945.0,5184646.0,1.569045,14728.05,0,,,1
1075,10,458907558.5,248118592.25,1.849549,17361.03,53657930.5,1.125772,10567.21,1
1079,10,423607121.17,113740073.75,3.724344,34959.04,187452818.17,4.006871,37611.02,1
1080,10,483952714.0,578550198.0,0.836492,7851.84,483952714.0,0.836492,7851.84,1
1101,11,5305697.5,452715.0,11.71973,110008.77,196853.5,3.242709,30438.11,1
1102,11,1230398518.0,967654835.0,1.271526,11935.35,0,,,1
1103,11,20137368.0,34135207.0,0.58993,5537.45,0,,,1
1104,11,68956584.0,94542295.0,0.729373,6846.35,0,,,1
1200,12,106640860.0,13719789.0,7.772777,72960.18,0,,,1
1311,13,550618.0,61028.5,9.022309,84689.08,550618.0,9.022309,84689.08,1
1312,13,9599514.25,8310756.5,1.155071,10842.22,9599514.25,1.155071,10842.22,1
1399,13,314668.46,115083.231,2.734269,25665.57,0,,,1
1512,15,314668.46,115083.231,2.734269,25665.57,0,,,1
1629,16,314668.46,115083.231,2.734269,25665.57,0,,,1
1709,17,314668.46,115083.231,2.734269,25665.57,0,,,1
1910,19,4529068070.5,4038697407.5,1.121418,10526.34,4487879569.5,1.141375,10713.67,1
1920,19,31758509120.0,31753366458.0,1.000162,9388.15,637744283.0,0.654835,6146.69,1
2011,20,4714107320.0,3988574857.0,1.181903,11094.08,4676694995.5,1.17573,11036.14,1
