kbli,n_item,n_item_impor_kg,nilai_bb_terbit_000rp,nilai_bb_impor_000rp,pangsa_impor,Pm_rp_per_kg,Pinput_rp_per_kg,jumlah_total_terbit_000rp,cakupan
10110,3,0,4755046,0,0.0,,32702.1,4755046,1.0
10120,2,0,138454604,0,0.0,,,138454604,1.0
10130,61,15,620362365,40422374,0.0652,4679.9,7857.1,820658539,0.756
10211,30,2,208796639,5057,0.0,21987.0,14105.5,208796639,1.0
10212,9,0,179608190,0,0.0,,13560.0,,
10213,57,7,4498402192,18049791,0.004,13450.2,7763.8,7863366389,0.572
10214,18,11,272656732,13296967,0.0488,112.6,1758.5,364640811,0.748
10217,8,8,3142916,52817,0.0168,4792.8,12486.3,9824978,0.32
10218,2,0,18964804,0,0.0,,33500.0,27812178,0.682
10219,37,8,1271509478,20765487,0.0163,0.2,5.9,1670135294,0.761
10221,34,19,2086262486,545887215,0.2617,1997.3,3054.3,,
10222,11,0,604672594,0,0.0,,42401.7,,
10291,17,4,173964261,336722,0.0019,0.8,5835.1,,
10293,41,13,4119599686,6346685,0.0015,5.4,22581.8,5661455512,0.728
10299,23,1,133604841,1122572,0.0084,2268.9,4341.2,267011839,0.5
10311,7,0,2753583,0,0.0,,9998.6,13988705,0.197
10312,20,7,68871866,366161,0.0053,0.5,9470.9,412795402,0.167
10313,9,0,231595866,0,0.0,,21709.2,409601570,0.565
10314,2,0,172950993,0,0.0,,962657.2,193207596,0.895
10320,9,1,51305518,47453799,0.9249,1000.0,1028.4,1026241692,0.05
10330,9,6,4536095,405821,0.0895,7897.4,20709.8,16466132,0.275
10391,2,0,2704500,0,0.0,,20033.3,10094808,0.268
10392,51,13,772522852,758012553,0.9812,53.0,2210.6,775032452,0.997
10399,11,3,1705685,39109,0.0229,112.4,9.8,15777223,0.108
10411,13,1,1275297958,9061437,0.0071,4549.5,5669.5,13474107177,0.095
10421,7,0,92346862,0,0.0,,4165.6,106154586,0.87
10422,12,0,2058940497,0,0.0,,3885.8,2987654451,0.689
10423,36,0,5648598045,0,0.0,,3533.9,6051219457,0.933
10424,7,2,334345004,1313573,0.0039,366.5,1559.8,864204772,0.387
10431,90,5,201745787212,214362430,0.0011,176597.6,210.0,205311022268,0.983
10432,30,3,35427250450,75389994,0.0021,2121.1,5400.9,48486648193,0.731
10490,5,0,1582862208,0,0.0,,1215.5,3841935620,0.412
10510,14,4,290780476,10425541,0.0359,1110.4,2886.2,,
10520,18,12,1967960779,1290185251,0.6556,1678.1,1877.6,5473781354,0.36
10531,31,9,86980713,605096,0.007,15.1,790.1,358790528,0.242
10532,4,0,579039,0,0.0,,663.0,1457714,0.397
10611,7,0,532127329,0,0.0,,7257.7,650847695,0.818
10612,15,1,3132523703,3803755,0.0012,124050.3,21695.5,4575031983,0.685
10613,9,0,277997266,0,0.0,,14066.3,8936821513,0.031
10614,21,0,812273303,0,0.0,,24594.2,1525668882,0.532
10615,6,0,10634096,0,0.0,,2422.4,24721231,0.43
10616,4,0,21160000,0,0.0,,2516923.1,21160000,1.0
10617,6,5,5181480506,5177823534,0.9993,1000.0,1000.0,17092136589,0.303
10618,19,0,127340961,0,0.0,,5321.4,3024925336,0.042
10621,29,0,986798305,0,0.0,,342.4,,
10622,11,1,53813068,135,0.0,0.0,2034.8,,
10623,5,3,1162428106,582433313,0.501,1462.8,1729.0,,
10629,7,1,4457669,5306594,1.1904,0.6,628.0,,
10631,33,0,5063101298,0,0.0,,2557.9,6177914547,0.82
10632,5,0,266830746,0,0.0,,1364.9,413523467,0.645
10633,10,2,148712228,80439937,0.5409,1000.0,1480.0,171292943,0.868
10710,283,40,3929549119,151947721,0.0387,2398.1,770.0,,
10721,56,10,8756019326,1073193230,0.1226,1561.4,249.8,11186414595,0.783
10722,14,0,10441443,0,0.0,,503.1,14876135,0.702
10723,24,11,330208244,18701256,0.0566,1952.0,12982.2,805137886,0.41
10729,2,2,14491226,63233,0.0044,4668.7,5224.8,70487597,0.206
10731,11,6,383220842,8002781,0.0209,240.8,2665.2,655956288,0.584
10732,59,28,1052346935,150053214,0.1426,2465.1,4392.6,1864876786,0.564
10739,12,2,80216446,37855,0.0005,7503.5,4736.5,87533657,0.916
10740,113,14,3747452564,15083158,0.004,21422.6,2729.6,4694350781,0.798
10750,71,13,1053171721,28176597,0.0268,2530.3,1875.1,1993308459,0.528
10761,73,5,4136261196,71094036,0.0172,2144.3,5043.6,8590536366,0.481
10771,97,31,1799594997,116453088,0.0647,3667.5,3496.6,,
10772,74,14,1347708324,6403605,0.0048,4.7,2548.1,3078636074,0.438
10773,11,3,179029688,864705,0.0048,3430.1,6326.4,867318064,0.206
10774,25,5,645571207,359639802,0.5571,480.9,653.0,,
10779,16,7,18885885,2146724,0.1137,1.8,1353.9,,
10792,93,1,100030290,163830,0.0016,6668894.7,9060.3,164998440,0.606
10793,62,15,643321402,83704499,0.1301,4379.5,8503.1,1282269803,0.502
10794,256,26,1279403306,2220486,0.0017,1.8,1168.9,2002536690,0.639
10799,78,8,87339917,6870,0.0001,0.0,2050.0,268108955,0.326
10801,130,33,33881272275,11554029467,0.341,2435.7,3671.4,39134573304,0.866
10802,47,20,4429064275,2233919101,0.5044,2439.6,267.2,5535361196,0.8
11010,24,5,84970454,19358667,0.2278,234.5,178.7,322422574,0.264
11020,3,0,690475,0,0.0,,8567.5,28509118,0.024
11040,113,21,1846191346,80340389,0.0435,1133.3,1639.9,,
11050,69,5,525587368,8319544,0.0158,9.6,74.5,,
11090,15,1,19225308,816022,0.0424,0.2,11488.5,,
12011,129,14,27227885716,1785380257,0.0656,2541.6,1916.6,43925838403,0.62
12012,18,4,4610796252,1349355271,0.2927,1093.4,209039.8,11696713848,0.394
12019,9,0,2607692,0,0.0,,621.2,163000455,0.016
12091,62,8,2196189060,246044497,0.112,4139.7,5113.5,7987230065,0.275
12099,19,0,122525953,59209985,0.4832,,4094.0,151036379,0.811
13111,22,9,2227121359,991937179,0.4454,1646.2,2133.2,2410521691,0.924
13112,96,47,19615659951,9045362979,0.4611,1633.0,2148.6,23687374418,0.828
13113,29,14,2911423480,1315717911,0.4519,898.7,213.9,3950390750,0.737
13121,249,40,7209305882,1223296192,0.1697,2447.1,5344.1,9653866904,0.747
13122,66,3,52299812,57679,0.0011,0.2,70147.9,136882760,0.382
13131,43,17,2065419882,798712283,0.3867,1343.3,2943.2,,
13132,120,12,9722473098,2817574617,0.2898,1482.7,2220.2,,
13133,73,5,4743560521,262784978,0.0554,1350.0,10702.3,9690446207,0.49
13134,205,11,444059574,10794748,0.0243,3147.4,5213.6,537665723,0.826
13911,70,10,1621893621,295417592,0.1821,4979.9,6707.2,2745589306,0.591
13912,74,2,65375029,10176402,0.1557,1514.6,3287.7,93286221,0.701
13921,163,8,3083139301,1546097152,0.5015,1375.4,1456.4,4007884264,0.769
13922,44,0,35859386,133233,0.0037,,,56831254,0.631
