kbli,divisi,divisi_nama,sektor,match_level,n_isic4_sumber,Pm_usd_per_kg,Pm_rp_per_kg,lnPm,Pm_intermed_rp_per_kg,lnPm_intermed,cif_usd,Pm_bps_bagianA_rp_per_kg,pangsa_impor_bps_A,Pd_rp_per_kg,Pd_cakupan
10110,10,Makanan,Resource Intensive,group_3digit,1,2.063436,19368.71,9.871414,7169.93,8.877651,225636432.0,,0.0,44204.1,1.0
10120,10,Makanan,Resource Intensive,group_3digit,1,2.063436,19368.71,9.871414,7169.93,8.877651,225636432.0,,0.0,1213.5,0.998
10130,10,Makanan,Resource Intensive,group_3digit,1,2.063436,19368.71,9.871414,7169.93,8.877651,225636432.0,4679.9,0.0652,6221.8,0.586
10211,10,Makanan,Resource Intensive,group_3digit,1,1.277477,11991.2,9.391928,10567.21,9.265511,163045287.0,21987.0,0.0,1557.2,1.0
10212,10,Makanan,Resource Intensive,group_3digit,1,1.277477,11991.2,9.391928,10567.21,9.265511,163045287.0,,0.0,29117.4,0.954
10213,10,Makanan,Resource Intensive,group_3digit,1,1.277477,11991.2,9.391928,10567.21,9.265511,163045287.0,13450.2,0.004,168.7,0.999
10214,10,Makanan,Resource Intensive,group_3digit,1,1.277477,11991.2,9.391928,10567.21,9.265511,163045287.0,112.6,0.0488,14930.1,1.0
10217,10,Makanan,Resource Intensive,group_3digit,1,1.277477,11991.2,9.391928,10567.21,9.265511,163045287.0,4792.8,0.0168,10822.6,1.0
10218,10,Makanan,Resource Intensive,group_3digit,1,1.277477,11991.2,9.391928,10567.21,9.265511,163045287.0,,0.0,4835.1,0.714
10219,10,Makanan,Resource Intensive,group_3digit,1,1.277477,11991.2,9.391928,10567.21,9.265511,163045287.0,0.2,0.0163,292.2,0.967
10221,10,Makanan,Resource Intensive,group_3digit,1,1.277477,11991.2,9.391928,10567.21,9.265511,163045287.0,1997.3,0.2617,1924.0,1.0
10222,10,Makanan,Resource Intensive,group_3digit,1,1.277477,11991.2,9.391928,10567.21,9.265511,163045287.0,,0.0,52160.0,0.999
