tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
2009,Rev3,15111,151,15,20,1420,20384520,733984763,528372675,205612088,35969861,13896796,478947324,0,0,0,3,0,0.0991,14355296,144797245,25330888,9786476,0.0,0.0
2009,Rev3,15112,151,15,36,5333,108620052,1840774351,1200929026,639845325,42358980,37335837,1021491065,49241386,29000000,1,7,2,0.1698,20367533,119978497,7942805,7000907,0.0482,0.0158
2009,Rev3,15121,151,15,44,22332,264918114,3491281668,2451598824,1039682844,62351511,67170152,2078205641,333341317,1840124710,26,23,7,0.2548,11862713,46555743,2792025,3007798,0.1604,0.5271
2009,Rev3,15122,151,15,134,6031,31617626,1080611757,440678493,639933264,6533175,10049909,417259176,0,764564499,39,20,3,0.0494,5242518,106107323,1083266,1666375,0.0,0.7075
2009,Rev3,15123,151,15,29,1583,16975929,297253673,263241732,34011941,4638850,3557491,255558661,0,224486026,3,5,1,0.4991,10723897,21485749,2930417,2247310,0.0,0.7552
2009,Rev3,15124,151,15,277,49428,546744040,11964329508,8474000998,3490328510,206324370,209462230,7890420416,61655277,5731524252,124,86,28,0.1566,11061423,70614399,4174241,4237724,0.0078,0.4791
2009,Rev3,15125,151,15,102,3390,16886675,336258878,297512334,38746544,1175660,8445623,276793110,22684770,0,0,28,0,0.4358,4981320,11429659,346802,2491334,0.082,0.0
2009,Rev3,15129,151,15,107,5981,54509987,875690732,600523824,275166908,6272999,29053314,505919551,3033815,160697203,23,19,3,0.1981,9113858,46006840,1048821,4857601,0.006,0.1835
2009,Rev3,15131,151,15,7,15214,322050560,1531963233,1073557535,458405698,41173941,66549635,888225545,297697591,1360198219,3,2,2,0.7025,21168040,30130518,2706319,4374237,0.3352,0.8879
2009,Rev3,15132,151,15,4,188,602993,5174201,3539774,1634427,293520,60405,3352565,0,2488543,1,2,0,0.3689,3207410,8693761,1561277,321303,0.0,0.481
2009,Rev3,15133,151,15,44,3090,38213735,312720210,202485638,110234572,6188082,14057548,164488726,4747889,5623972,2,14,1,0.3467,12366905,35674619,2002616,4549368,0.0289,0.018
2009,Rev3,15134,151,15,5,144,1487719,94943111,88461264,6481847,10626850,735342,87109608,0,2959999,1,1,0,0.2295,10331382,45012826,73797569,5106542,0.0,0.0312
2009,Rev3,15139,151,15,15,2672,17976638,186319523,142260013,44059510,3709259,1679719,137515855,864786,15547671,5,2,1,0.408,6727784,16489338,1388196,628637,0.0063,0.0834
2009,Rev3,15141,151,15,430,107654,2615349447,152762869804,111216279458,41546590346,366012945366,2330539416,104797647721,786523935,21976176537,98,138,72,0.0629,24294029,385927047,3399901029,21648424,0.0075,0.1439
2009,Rev3,15142,151,15,1,381,17408576,617983554,417525819,200457735,28423960,7083463,333565468,9614920,0,0,1,1,0.0868,45691801,526135787,74603570,18591766,0.0288,0.0
2009,Rev3,15143,151,15,26,2239,35898651,3936018601,2930759853,1005258748,27462324,97843082,2801654783,776879,2197352405,5,6,0,0.0357,16033341,448976663,12265442,43699456,0.0003,0.5583
2009,Rev3,15144,151,15,48,16703,519492330,65788364117,46337843475,19450520642,847235048,1016836541,43434396674,61993309,13309635470,16,17,7,0.0267,31101738,1164492645,50723526,60877480,0.0014,0.2023
2009,Rev3,15145,151,15,2,99,631101,7188934,6307537,881397,0,344193,5899252,0,0,0,0,0,0.716,6374758,8903000,0,3476697,0.0,0.0
2009,Rev3,15149,151,15,2,146,7824612,15933125,7100978,8832147,0,3633467,701998,0,15927900,1,0,0,0.8859,53593233,60494158,0,24886760,0.0,0.9997
2009,Rev3,15211,152,15,29,9248,321168969,23308333558,20276404828,3031928730,374451919,172599923,18419844912,5001987240,1020118974,4,10,6,0.1059,34728478,327846965,40490043,18663486,0.2716,0.0438
2009,Rev3,15212,152,15,3,136,1951207,8338707,4101814,4236893,2526180,417773,1494411,0,0,0,1,0,0.4605,14347110,31153625,18574853,3071860,0.0,0.0
2009,Rev3,15213,152,15,17,2238,43320582,467287673,267709663,199578010,9672249,13379789,227597683,702180,0,0,4,0,0.2171,19356828,89176948,4321827,5978458,0.0031,0.0
