kbli,n_perusahaan,tk_produksi,tk_lainnya,tk_total,upah_produksi,upah_lainnya,upah_total,biaya_input,nilai_output,nt_harga_pasar,pajak_tak_lgsg,nt_biaya_faktor,ULC,upah_per_pekerja_produksi,upah_per_pekerja_lainnya,produktivitas_per_pekerja,divisi,divisi_nama,isic_rev3_asal,sektor,status_pemetaan
10110,9,449,158,609,7500700,2322649,9823349,12174024,41401349,29227325,2189811,27037514,0.3361,16705345.0,14700310.0,47992323.0,10,Makanan,15,Resource Intensive,jelas
10120,9,276,95,372,7722169,3444333,11166502,151852069,171336265,19484196,218275,19265921,0.5731,27978873.0,36256137.0,52376871.0,10,Makanan,15,Resource Intensive,jelas
10130,49,5719,1823,7558,104247835,41791076,146038911,900615614,2132843077,1232227463,6747771,1225479692,0.1185,18228333.0,22924342.0,163036182.0,10,Makanan,15,Resource Intensive,jelas
10211,107,5388,814,6322,191678809,47315121,238993930,249184478,415502192,166317714,161246,166156468,1.437,35575132.0,58126684.0,26307769.0,10,Makanan,15,Resource Intensive,jelas
10212,6,619,62,681,9449960,1921631,11371591,194445740,305229894,110784154,519400,110264754,0.1026,15266494.0,30994048.0,162678640.0,10,Makanan,15,Resource Intensive,jelas
10213,235,22481,4588,27112,473574232,130424327,603998559,8531996169,11175014178,2643018009,1220005085,1423012924,0.2285,21065532.0,28427273.0,97485173.0,10,Makanan,15,Resource Intensive,jelas
10214,93,3088,153,3367,96222884,13160370,109383254,386036652,473495348,87458696,1220353,86238343,1.2507,31160260.0,86015490.0,25975259.0,10,Makanan,15,Resource Intensive,jelas
10217,10,241,9,250,24289741,268178,24557919,165900892,291350659,125449767,1010,125448757,0.1958,100787307.0,29797556.0,501799068.0,10,Makanan,15,Resource Intensive,jelas
10218,9,516,38,656,14940113,1326645,16266758,38775493,82602984,43827491,63190,43764301,0.3712,28953707.0,34911711.0,66810200.0,10,Makanan,15,Resource Intensive,jelas
10219,108,8988,865,9919,166529496,37999804,204529300,1784706395,2568570754,783864359,11336317,772528042,0.2609,18527981.0,43930409.0,79026551.0,10,Makanan,15,Resource Intensive,jelas
10221,65,18084,1813,19929,553909939,70969071,624879010,5884362938,7117879875,1233516937,23534040,1209982897,0.5066,30629835.0,39144551.0,61895576.0,10,Makanan,15,Resource Intensive,jelas
10222,8,3130,170,3303,45825242,9906976,55732218,664269961,1127968314,463698353,7311972,456386381,0.1202,14640652.0,58276329.0,140387028.0,10,Makanan,15,Resource Intensive,jelas
10291,26,1607,130,1767,29150312,8966904,38117216,267852259,475139588,207287329,432881,206854448,0.1839,18139584.0,68976185.0,117310316.0,10,Makanan,15,Resource Intensive,jelas
10293,118,31145,4629,35818,563525591,107043115,670568706,6087961697,9470415743,3382454046,20406691,3362047355,0.1982,18093613.0,23124458.0,94434476.0,10,Makanan,15,Resource Intensive,jelas
10294,2,,,,,,,,,,,,,,,,10,Makanan,15,Resource Intensive,jelas
10299,105,4765,284,5155,76470912,8416086,84886998,286831135,552993577,266162442,1700603,264461839,0.3189,16048460.0,29634106.0,51631900.0,10,Makanan,15,Resource Intensive,jelas
10311,11,441,127,572,6977277,2353108,9330385,18194978,49946304,31751326,83013,31668313,0.2939,15821490.0,18528409.0,55509311.0,10,Makanan,15,Resource Intensive,jelas
10312,37,1795,685,2492,36217976,13271496,49489472,549553805,862762164,313208359,2844633,310363726,0.158,20177145.0,19374447.0,125685537.0,10,Makanan,15,Resource Intensive,jelas
10313,3,595,192,788,14687494,4423161,19110655,413127303,522894531,109767228,224501,109542727,0.1741,24684864.0,23037297.0,139298513.0,10,Makanan,15,Resource Intensive,jelas
10314,8,2883,454,3338,24768775,3747024,28515799,226106877,467742809,241635932,232001,241403931,0.118,8591320.0,8253357.0,72389434.0,10,Makanan,15,Resource Intensive,jelas
10320,8,15063,1700,16763,693021744,72656711,765678455,1124473372,2063405840,938932468,2556542,936375926,0.8155,46008215.0,42739242.0,56012198.0,10,Makanan,15,Resource Intensive,jelas
10330,6,292,148,441,4230665,2929335,7160000,24010583,63389601,39379018,456150,38922868,0.1818,14488579.0,19792804.0,89294825.0,10,Makanan,15,Resource Intensive,jelas
10391,5,349,51,400,5409851,1000421,6410272,11205480,19217375,8011895,,8011895,0.8001,15501006.0,19616098.0,20029738.0,10,Makanan,15,Resource Intensive,jelas
10392,145,9233,1206,10580,223197697,36980589,260178286,902792676,1269412327,366619651,855427,365764224,0.7097,24173908.0,30663838.0,34652141.0,10,Makanan,15,Resource Intensive,jelas
10399,5,169,173,344,2023252,1148469,3171721,19422197,27236155,7813958,433332,7380626,0.4059,11971905.0,6638549.0,22714994.0,10,Makanan,15,Resource Intensive,jelas
10411,19,1943,2256,4225,90060284,369598480,459658764,17575332127,21862039311,4286707184,197382954,4089324230,0.1072,46351150.0,163829113.0,1014605251.0,10,Makanan,15,Resource Intensive,jelas
10412,2,,,,,,,,,,,,,,,,10,Makanan,15,Resource Intensive,jelas
10413,2,,,,,,,,,,,,,,,,10,Makanan,15,Resource Intensive,jelas
10415,1,,,,,,,,,,,,,,,,10,Makanan,15,Resource Intensive,jelas
10421,59,1850,107,2022,71574768,4706191,76280959,108943169,136407896,27464727,80827,27383900,2.7774,38689064.0,43983093.0,13582951.0,10,Makanan,15,Resource Intensive,jelas
10422,17,1543,1336,2880,44508256,27746684,72254940,3260035852,4055693022,795657170,2804446,792852724,0.0908,28845273.0,20768476.0,276269851.0,10,Makanan,15,Resource Intensive,jelas
10423,30,1951,726,2680,35562450,32137423,67699873,7592511155,9095284824,1502773669,20035492,1482738177,0.045,18227806.0,44266423.0,560736444.0,10,Makanan,15,Resource Intensive,jelas
10424,13,4330,1739,6070,112322997,33700420,146023417,930427621,1219685912,289258291,24514353,264743938,0.5048,25940646.0,19379195.0,47653755.0,10,Makanan,15,Resource Intensive,jelas
10431,478,9577,33958,140214,3713275826,1209301600,4922577426,212252883199,309876723163,97623839964,1376288842,96247551122,0.0504,387728498.0,35611685.0,696248876.0,10,Makanan,15,Resource Intensive,jelas
10432,46,12207,10279,22492,482637476,895745752,1378383228,50639709041,73401407700,22761698659,426598032,22335100627,0.0606,39537763.0,87143278.0,1011990870.0,10,Makanan,15,Resource Intensive,jelas
10490,27,556,123,679,26401288,5407590,31808878,3955374467,4934116138,978741671,154578,978587093,0.0325,47484331.0,43964146.0,1441445760.0,10,Makanan,15,Resource Intensive,jelas
10510,10,1687,554,2242,28681038,7076981,35758019,1845425193,2115949104,270523911,1373121,269150790,0.1322,17001208.0,12774334.0,120661869.0,10,Makanan,15,Resource Intensive,jelas
10520,16,4522,2991,7513,81202038,37530081,118732119,9453809655,12605848436,3152038781,475687392,2676351389,0.0377,17957107.0,12547670.0,419544627.0,10,Makanan,15,Resource Intensive,jelas
10531,17,1878,1047,2927,30639241,27230331,57869572,383710806,995589575,611878769,4450854,607427915,0.0946,16314825.0,26007957.0,209046385.0,10,Makanan,15,Resource Intensive,jelas
10532,4,211,120,331,4346408,2799992,7146400,5443198,18914210,13471012,1300004,12171008,0.5305,20599090.0,23333267.0,40697921.0,10,Makanan,15,Resource Intensive,jelas
10590,1,,,,,,,,,,,,,,,,10,Makanan,15,Resource Intensive,jelas
10611,24,710,261,994,11283799,3997718,15281517,666817677,813313470,146495793,101250,146394543,0.1043,15892675.0,15316927.0,147380073.0,10,Makanan,15,Resource Intensive,jelas
10612,56,49450,4673,54124,639887830,97665904,737553734,4850254097,6578577394,1728323297,9631853,1718691444,0.4267,12940098.0,20900044.0,31932660.0,10,Makanan,15,Resource Intensive,jelas
10613,18,5665,392,6057,122206054,20934133,143140187,8990880431,10717974679,1727094248,14467976,1712626272,0.0829,21572119.0,53403401.0,285140209.0,10,Makanan,15,Resource Intensive,jelas
10614,26,2435,265,2715,36528178,6061387,42589565,1660248630,1887530064,227281434,584690,226696744,0.1874,15001305.0,22873158.0,83713235.0,10,Makanan,15,Resource Intensive,jelas
10615,18,500,42,568,10265588,2869347,13134935,25197026,35391572,10194546,71861,10122685,1.2884,20531176.0,68317786.0,17948144.0,10,Makanan,15,Resource Intensive,jelas
10616,12,320,5,336,7482377,,7482377,22981774,25348329,2366555,249,2366306,3.1617,23382428.0,,7043318.0,10,Makanan,15,Resource Intensive,jelas
10617,10,2030,1255,3285,176311777,88069162,264380939,19999321238,22156433572,2157112334,140387117,2016725217,0.1226,86853092.0,70174631.0,656655201.0,10,Makanan,15,Resource Intensive,jelas
10618,23,1539,471,2012,58944750,62427945,121372695,3935821120,4198956688,263135568,3035376,260100192,0.4613,38300682.0,132543408.0,130783085.0,10,Makanan,15,Resource Intensive,jelas
10621,161,8981,2410,11426,148471111,46361979,194833090,2439189600,3429962357,990772757,15281265,975491492,0.1966,16531690.0,19237336.0,86712126.0,10,Makanan,15,Resource Intensive,jelas
10622,16,1195,395,1608,26244270,7957158,34201428,69070607,155128597,86057990,11133,86046857,0.3974,21961732.0,20144704.0,53518650.0,10,Makanan,15,Resource Intensive,jelas
10623,9,760,418,1179,11876249,5569112,17445361,1536542144,2537052316,1000510172,11844308,988665864,0.0174,15626643.0,13323234.0,848609137.0,10,Makanan,15,Resource Intensive,jelas
10629,5,436,127,564,7818364,3182712,11001076,63021715,86739073,23717358,1102913,22614445,0.4638,17932028.0,25060724.0,42052053.0,10,Makanan,15,Resource Intensive,jelas
10631,362,9203,2330,11896,157583997,46631244,204215241,6432619432,7542756699,1110137267,4016491,1106120776,0.184,17123112.0,20013409.0,93320214.0,10,Makanan,15,Resource Intensive,jelas
10632,10,331,139,472,7265504,4851866,12117370,438241024,582605310,144364286,2264741,142099545,0.0839,21950163.0,34905511.0,305856538.0,10,Makanan,15,Resource Intensive,jelas
10633,10,356,61,428,6038200,1458159,7496359,183110601,212581606,29471005,1597143,27873862,0.2544,16961236.0,23904246.0,68857488.0,10,Makanan,15,Resource Intensive,jelas
10634,1,,,,,,,,,,,,,,,,10,Makanan,15,Resource Intensive,jelas
10710,639,61726,21331,83405,1226080607,470794178,1696874785,6534275393,13418845507,6884570114,73837622,6810732492,0.2465,19863277.0,22070891.0,82543854.0,10,Makanan,15,Resource Intensive,jelas
10721,67,47970,20395,68378,1493902702,773703727,2267606429,12506404691,32803495062,20297090371,540884560,19756205811,0.1117,31142437.0,37935951.0,296836561.0,10,Makanan,15,Resource Intensive,jelas
10722,13,336,76,423,7488965,704456,8193421,16385568,26826482,10440914,63729,10377185,0.7847,22288586.0,9269158.0,24683012.0,10,Makanan,15,Resource Intensive,jelas
10723,21,1585,707,2295,24323883,11354307,35678190,925482432,1616053786,690571354,2897722,687673632,0.0517,15346298.0,16059840.0,300902551.0,10,Makanan,15,Resource Intensive,jelas
10729,8,482,79,570,5600025,952105,6552130,76712081,102224282,25512201,17858,25494343,0.2568,11618309.0,12051962.0,44758247.0,10,Makanan,15,Resource Intensive,jelas
10731,12,3146,329,3475,30766343,6731931,37498274,1387570673,3447459808,2059889135,44934812,2014954323,0.0182,9779511.0,20461796.0,592773852.0,10,Makanan,15,Resource Intensive,jelas
10732,68,12237,2450,14694,302320374,96383533,398703907,2827927174,5085923071,2257995897,100448106,2157547791,0.1766,24705432.0,39340218.0,153667885.0,10,Makanan,15,Resource Intensive,jelas
10733,2,,,,,,,,,,,,,,,,10,Makanan,15,Resource Intensive,jelas
10739,9,1448,151,1602,15180851,4627468,19808319,140235824,311995651,171759827,369863,171389964,0.1153,10484013.0,30645483.0,107215872.0,10,Makanan,15,Resource Intensive,jelas
10740,296,30799,5030,35944,504083659,99669020,603752679,5353245231,8344456813,2991211582,22806483,2968405099,0.2018,16366884.0,19814915.0,83218662.0,10,Makanan,15,Resource Intensive,jelas
10750,63,8382,1846,10236,116905770,40408796,157314566,2447782854,2916110509,468327655,20308860,448018795,0.3359,13947241.0,21889922.0,45752995.0,10,Makanan,15,Resource Intensive,jelas
10761,213,43525,28476,72041,1610627844,559577954,2170205798,10821806192,16487858466,5666052274,96440668,5569611606,0.383,37004660.0,19650862.0,78650383.0,10,Makanan,15,Resource Intensive,jelas
10762,2,,,,,,,,,,,,,,,,10,Makanan,15,Resource Intensive,jelas
10771,96,8544,2882,11467,259316075,237697123,497013198,2949010070,5843822227,2894812157,280531417,2614280740,0.1717,30350664.0,82476448.0,252447210.0,10,Makanan,15,Resource Intensive,jelas
10772,65,9025,2366,11417,224416033,72998218,297414251,3812228458,5650746329,1838517871,11380392,1827137479,0.1618,24866042.0,30853008.0,161033360.0,10,Makanan,15,Resource Intensive,jelas
10773,8,3888,1533,5423,124141822,34486199,158628021,926653931,1429266115,502612184,64948,502547236,0.3156,31929481.0,22495890.0,92681576.0,10,Makanan,15,Resource Intensive,jelas
10774,116,6232,977,7279,134821878,35726153,170548031,872164141,1521922259,649758118,2226767,647531351,0.2625,21633806.0,36567199.0,89264750.0,10,Makanan,15,Resource Intensive,jelas
10779,10,711,124,838,15199795,7932650,23132445,125412573,199063971,73651398,6150218,67501180,0.3141,21378052.0,63972984.0,87889496.0,10,Makanan,15,Resource Intensive,jelas
10792,87,3916,626,4600,81360576,23601312,104961888,186357504,296662649,110305145,3355328,106949817,0.9516,20776449.0,37701776.0,23979379.0,10,Makanan,15,Resource Intensive,jelas
10793,79,16400,1113,17569,226012119,31419234,257431353,1566914944,2727864612,1160949668,6549253,1154400415,0.2217,13781227.0,28229321.0,66079439.0,10,Makanan,15,Resource Intensive,jelas
10794,940,46620,4182,51837,742754149,83677056,826431205,2272519872,3471513315,1198993443,38558253,1160435190,0.6893,15932092.0,20008861.0,23130070.0,10,Makanan,15,Resource Intensive,jelas
10799,62,3515,1017,4567,72008120,20439710,92447830,308044456,811880477,503836021,2142312,501693709,0.1835,20485952.0,20098043.0,110321003.0,10,Makanan,15,Resource Intensive,jelas
10801,62,12661,7215,20145,501037270,387579374,888616644,43789377394,58633206934,14843829540,18195641,14825633899,0.0599,39573278.0,53718555.0,736849319.0,10,Makanan,15,Resource Intensive,jelas
