kbli,bahan_baku,energi,sewa,jasa,repres,lainnya,jumlah_T7,biaya_input_T9
10110,4755046,1538628,5853851,,20062,6437,12174024,12174024
10120,138454604,8049343,4933742,,72014,342366,151852069,151852069
10130,820658539,35395697,42554180,19371,298626,1689201,900615614,900615614
10211,208796639,16204920,23469592,,545079,168248,249184478,249184478
10212,179608190,6680296,8039162,,118092,,194445740,194445740
10213,7863366389,424121467,202023304,90938,1684501,40709570,8531996169,8531996169
10214,364640811,9179755,11785448,774,348296,81568,386036652,386036652
10217,9824978,625654,155421214,,23994,5052,165900892,165900892
10218,27812178,1142321,9620170,,,200824,38775493,38775493
10219,1670135294,76648846,32340826,4225665,723585,632179,1784706395,1784706395
10221,5096525659,168950443,460093372,1143974,129398062,28251428,5884362938,5884362938
10222,631073016,24620142,5800600,,1979955,796248,664269961,664269961
10291,252937149,8952540,5820843,,58464,83263,267852259,267852259
10293,5661455512,227431093,150187701,186719,11235841,37464831,6087961697,6087961697
10294,,,,,,,,
10299,267011839,13458808,3509321,,1985327,865840,286831135,286831135
10311,13988705,2697348,1465628,,221,43076,18194978,18194978
10312,412795402,52330913,79694839,,2024091,2708560,549553805,549553805
10313,409601570,3518893,6840,,,,413127303,413127303
10314,193207596,31602881,1033753,,,262647,226106877,226106877
10320,1026241692,76266084,21162148,,,803448,1124473372,1124473372
10330,16466132,6791648,645353,10000,97450,,24010583,24010583
10391,10094808,1036020,74652,,,,11205480,11205480
10392,775032452,119754643,6798041,55535,826694,325311,902792676,902792676
10399,15777223,1142254,2392392,,397,109931,19422197,19422197
10411,13474107177,436347362,3555421765,,102209835,7245988,17575332127,17575332127
10412,,,,,,,,
10413,,,,,,,,
10415,,,,,,,,
10421,106154586,1172753,1614450,,,1380,108943169,108943169
10422,2987654451,201600095,50648976,,19500910,631420,3260035852,3260035852
10423,6051219457,596913915,582279543,,359415220,2683020,7592511155,7592511155
10424,864204772,61312451,2347440,,,2562958,930427621,930427621
10431,205311022268,3709730838,2678191157,144706,251834295,301959935,212252883199,212252883199
10432,48486648193,979815578,307121868,754701,5610491,859758210,50639709041,50639709041
10490,3841935620,77993122,35059732,4752,76931,304310,3955374467,3955374467
10510,1579005066,90355735,169383830,,13063,6667499,1845425193,1845425193
10520,5473781354,1319184335,2584761845,,394448,75687673,9453809655,9453809655
10531,358790528,18292166,6576288,,,51824,383710806,383710806
10532,1457714,3893528,91956,,,,5443198,5443198
10590,,,,,,,,
10611,650847695,9974640,5941951,,4144,49247,666817677,666817677
10612,4575031983,193052480,50582519,111664,26260029,5215422,4850254097,4850254097
10613,8936821513,9467356,42908576,,68770,1614216,8990880431,8990880431
10614,1525668882,34012561,100432541,,,134646,1660248630,1660248630
10615,24721231,371828,100771,,,3196,25197026,25197026
10616,21160000,654446,1167328,,,,22981774,22981774
10617,17092136589,887999282,2005124282,,106638,13954447,19999321238,19999321238
10618,3024925336,198632718,699270269,,2304534,10688263,3935821120,3935821120
10621,2150064203,246028950,32073639,47014,7399961,3575833,2439189600,2439189600
10622,58696196,4789725,5450526,4140,126300,3720,69070607,69070607
10623,1456190006,50004100,26365071,,3982967,,1536542144,1536542144
10629,45039297,16446125,1180193,,14100,342000,63021715,63021715
10631,6177914547,95985552,152055450,2287961,986000,3389922,6432619432,6432619432
10632,413523467,9295914,4251088,18900,8879066,2272589,438241024,438241024
10633,171292943,7865585,3910098,,4260,37715,183110601,183110601
10634,,,,,,,,
10710,5396970456,464231330,600571507,90235,49923009,22488856,6534275393,6534275393
10721,11186414595,1051389719,95070735,15324440,57212862,100992340,12506404691,12506404691
10722,14876135,1173469,331524,,1058,3382,16385568,16385568
10723,805137886,61297981,49860018,,7005292,2181255,925482432,925482432
10729,70487597,5376212,832849,,15423,,76712081,76712081
10731,655956288,727218558,1714685,,2532604,148538,1387570673,1387570673
10732,1864876786,156567203,794832814,13664,3260962,8375745,2827927174,2827927174
10733,,,,,,,,
10739,87533657,13918655,38323298,78071,267970,114173,140235824,140235824
10740,4694350781,368509046,273759298,7101122,1660069,7864915,5353245231,5353245231
10750,1993308459,283729752,157083456,9449,5762151,7889587,2447782854,2447782854
10761,8590536366,1383365255,729978437,3352049,93218478,21355607,10821806192,10821806192
10762,,,,,,,,
10771,2044356060,160701023,499081796,169055954,48967807,26847430,2949010070,2949010070
10772,3078636074,326368285,371298516,10485,30741766,5173332,3812228458,3812228458
10773,867318064,55325882,4009985,,,,926653931,926653931
10774,785045346,39794764,43615312,37613,66625,3604481,872164141,872164141
10779,114713524,4995935,5400790,,,302324,125412573,125412573
10792,164998440,9054317,11830967,32572,241678,199530,186357504,186357504
10793,1282269803,141790149,134407941,39685,698563,7708803,1566914944,1566914944
10794,2002536690,165068559,83573599,1364108,3454321,16522595,2272519872,2272519872
10799,268108955,26835024,4447294,16692,3170622,5465869,308044456,308044456
10801,39134573304,3582451749,990129913,,4942282,77280146,43789377394,43789377394
10802,5535361196,133369673,126280559,30000000,548893,6508476,5832068797,5832068797
11010,322422574,37570864,10136774,,,1476430,371606642,371606642
11020,28509118,2849348,2382245,,65722,287536,34093969,34093969
11030,,,,,,,,
11040,3283087716,324860947,588338920,11290,50266209,15780099,4262345181,4262345181
11050,900314433,368791770,722426526,,6099666,15356224,2012988619,2012988619
11090,529187043,19247700,17946302,,12136950,566861,579084856,579084856
12011,43925838403,1114107026,3053062221,28756182,32751844,187608897,48342124573,48342124573
12012,11696713848,27157565,70508736,361415,1194643,1477231,11797413438,11797413438
12019,163000455,9606470,6589508,56973,2316252,1907646,183477304,183477304
12091,7987230065,407557219,73973072,37396,76654223,8347873,8553799848,8553799848
12099,151036379,48150674,41288204,1006,9501550,27164,250004977,250004977
13111,2410521691,622065720,90975822,,10904753,9095056,3143563042,3143563042
13112,23687374418,3122620061,1320659042,12213591,149411039,173765014,28466043165,28466043165
13113,3950390750,846707328,130205650,10412996,12520507,8015335,4958252566,4958252566
13121,9653866904,1921734179,566646492,29801684,212826411,45991371,12430867041,12430867041
13122,136882760,1623947,3576349,60797,533215,74363,142751431,142751431
13131,2477028794,427585150,130855838,,415064247,12973015,3463507044,3463507044
13132,11242196634,1723564621,415993702,51783,58161230,44734109,13484702079,13484702079
13133,9690446207,1158863441,333523393,16437,112350659,33022631,11328222768,11328222768
13134,537665723,24083394,11080966,13158,4597852,1207781,578648874,578648874
13911,2745589306,885708564,104712908,392,16542608,35921216,3788474994,3788474994
13912,93286221,10170706,16945016,,1137945,4017504,125557392,125557392
13921,4007884264,458485835,500113082,98740,46297921,16841067,5029720909,5029720909
13922,56831254,13753856,14051891,,129086,4379907,89145994,89145994
13923,158495531,11067031,19701335,,1551153,64816,190879866,190879866
13924,54795764,7127022,1731974,,69636,27250,63751646,63751646
13929,1102785194,99176171,22807504,143979,14530941,17014505,1256458294,1256458294
13930,632732139,61676450,72685351,,603811,3836877,771534628,771534628
13941,225875289,29876438,2059864,,472764,371054,258655409,258655409
13942,343452130,50286828,30043132,,2696469,6648596,433127155,433127155
13991,941569446,165284800,99532847,2299,228780,9621573,1216239745,1216239745
13992,223187154,36595774,5580214,,7807,,265370949,265370949
13993,106828739,18992444,7803435,,,875,133625493,133625493
13994,,,,,,,,
13995,,,,,,,,
13996,,,,,,,,
13997,182134645,6031975,2586252,,212477,85664,191051013,191051013
13999,796983435,49575899,49028249,,62534432,1684708,959806723,959806723
14111,14064879340,2400772602,2524043001,430321,794157717,445481808,20229764789,20229764789
14112,22850883,4149097,1880543,,100866,154798,29136187,29136187
14120,12252040,727518,413407,,11229,453885,13858079,13858079
14131,2604382398,198184246,48533584,20368,32495881,900357,2884516834,2884516834
14132,505513251,12120907,49226630,,27726188,992367,595579343,595579343
14200,,,,,,,,
14301,3121139327,289546341,266051987,413508,66914939,31817060,3775883162,3775883162
14302,57406483,8402989,4468750,189,1735700,1283267,73297378,73297378
14303,342039070,27076616,8411955,,274608,5613144,383415393,383415393
15111,1011267639,46710054,202446265,,6599038,440895,1267463891,1267463891
15112,1566425889,63918642,125145050,6950,13406601,8353122,1777256254,1777256254
15114,145158254,12974653,1447727,,,200000,159780634,159780634
15121,1223811584,67646383,74732033,18090,6130154,15567563,1387905807,1387905807
15122,15093889,1117281,42677,,,186498,16440345,16440345
15129,20894778,3779917,2880790,,95480,4320923,31971888,31971888
15201,16745102130,1688902932,1682925126,8544,382046624,501774563,21000759919,21000759919
15202,11945840290,996816123,1165003123,34335,55589800,16455868,14179739539,14179739539
15203,1029841708,450668519,238666615,,63118,8824904,1728064864,1728064864
15209,157967434,189717043,515500128,,433800,25937011,889555416,889555416
16101,2315796056,307218413,97427464,7503,21446166,39716986,2781612588,2781612588
16102,283039129,32074880,26577745,7136,2883747,340031,344922668,344922668
16103,39874530,1422333,461159,,128140,50000,41936162,41936162
16104,26609867,3227238,852309,875,58687,717709,31466685,31466685
16211,7113094253,858564994,250377896,,7002195,62424432,8291463770,8291463770
16212,4416467333,481038752,1451380468,149581,16292176,142860098,6508188408,6508188408
16213,7475641066,445936953,521357794,24974,5742424,82330056,8531033267,8531033267
16214,656142968,23904163,14373282,,177504,204719,694802636,694802636
16221,1813072172,163114371,115906395,568617,23579477,7607632,2123848664,2123848664
16222,189357512,11320434,52005456,14347,78450,38864,252815063,252815063
16230,217542205,11723848,8349543,286232,6445452,397214,244744494,244744494
16291,289935438,19014897,7619525,111013,2191671,580106,319452650,319452650
16292,36856667,1910670,807182,,1049662,65249,40689430,40689430
16293,288559620,30637190,20545235,,2473807,924617,343140469,343140469
16294,102315296,4169023,3471103,,31158,669608,110656188,110656188
16295,32458351,5111314,5395622,,155557,1412301,44533145,44533145
16299,168876546,16113458,5746296,10830,1639585,2662800,195049515,195049515
17011,22251353484,2840173725,2027980309,,1798043308,10374681,28927925507,28927925507
17012,21710636957,4078736226,974577272,,148041674,56591548,26968583677,26968583677
17013,,,,,,,,
17014,1273220319,85114090,68763306,10799,71034021,1950544,1500093079,1500093079
17019,110709669,25073771,5412145,,1750257,657180,143603022,143603022
17021,1542637008,757661447,69566800,,1048058,2653336,2373566649,2373566649
17022,9991307625,629781317,417194098,1142460,67090248,53662970,11160178718,11160178718
17091,4325865613,605483042,581520407,,93314353,17209226,5623392641,5623392641
17099,3078633358,152020369,247704461,,2320413,4399102,3485077703,3485077703
18111,7165498251,1066936652,625802480,599467,78749953,110940383,9048527186,9048527186
18112,813209796,166836186,36647674,,16401391,1338126,1034433173,1034433173
18120,245177812,24365557,15615136,8592023,20834317,4422904,319007749,319007749
18201,5386927,197127,214112,,10947,74815,5883928,5883928
19100,29282654,5390569,2293217,1200,149450,192000,37309090,37309090
19211,55319975,13269837,848174,10200,130232,76350,69654768,69654768
19212,127950683,8724787,330553,,,500000,137506023,137506023
19213,1625263973,113660418,37470679,,9439467,16460429,1802294966,1802294966
19214,,,,,,,,
19291,2152740241,88124868,61104941,,2282294,5299118,2309551462,2309551462
19292,,,,,,,,
20111,35790557053,5465939807,3507423479,,2736143,46940313,44813596795,44813596795
20112,7139179510,2673298476,410956031,34985,448574966,2482278738,13154322706,13154322706
20113,377001936,125328095,161895559,,3580,2276964,666506134,666506134
20114,962033043,178261623,88475439,445442,1958971,124272539,1355447057,1355447057
20115,851605500,429346135,31710010,22726,11914518,1379656609,2704255498,2704255498
20116,7402571759,300926070,330818994,,5409209,8227907,8047953939,8047953939
20117,1747453614,197539549,11035480,,47531,,1956076174,1956076174
20118,25496677936,5762117292,918648667,3916686,44426646,1420225407,33646012634,33646012634
20119,4839761038,2178723748,359557487,,24859238,888932801,8291834312,8291834312
20121,761850870,80749547,19582024,55154,4755613,7505987,874499195,874499195
20122,8161217486,858321276,208535862,,,11357573,9239432197,9239432197
20123,11044348645,224504018,6784330,,858205,1087080,11277582278,11277582278
20129,348536525,11951754,2252489,,6631,,362747399,362747399
20131,8451066451,885134202,461823764,6009564,19938200,30366847,9854339028,9854339028
20132,3026042560,207600432,2007835,,,35154812,3270805639,3270805639
20211,88070016,18881986,15004654,,,101266,122057922,122057922
20212,6095777900,1203304686,399332413,,1495671,3893460,7703804130,7703804130
20213,,,,,,,,
20214,,,,,,,,
20221,8600936693,580975269,812515200,24382,2697302,28085314,10025234160,10025234160
20222,18165476,1522479,226557,,,9571,19924083,19924083
20223,20973011,2705233,318360,,,,23996604,23996604
20231,26540627167,1584445112,1656165406,14338,15209810,485181142,30281642975,30281642975
20232,1747485268,67123947,188997346,,11842167,5899565,2021348293,2021348293
20291,3235404166,370310697,316833060,351589,42351181,10325680,3975576373,3975576373
20292,401415022,26235671,1196898,,,42600,428890191,428890191
20293,129447562,7592967,6360133,,1335104,3526391,148262157,148262157
20294,646830681,39647765,79629497,475898,,1219355,767803196,767803196
20295,114331232,16771759,31778408,,,200897,163082296,163082296
20299,1063462612,203614865,10295543,,36555,16506719,1293916294,1293916294
20301,110168961,248477,5941,,108183,,110531562,110531562
20302,4506987896,36169996,166268194,893128,,1401497,4711720711,4711720711
21011,948797480,83147323,305921939,886774,120213042,11717446,1470684004,1470684004
21012,8717506138,719232987,3431991374,10999050,292632457,228615389,13400977395,13400977395
21021,72451578,2553885,2343968,,,3188872,80538303,80538303
21022,504591777,48544289,201446039,3457780,85109498,22032779,865182162,865182162
22111,40223619639,4003753022,1389248182,95944924,143467653,158005794,46014039214,46014039214
22112,236041105,18119948,11118859,,1133002,83360,266496274,266496274
22121,4119683446,287705855,165683687,,2984683,2410442,4578468113,4578468113
22122,1450177338,581138026,36876118,,166793,79090,2068437365,2068437365
22123,64787131328,5085867206,278038891,459418,25178090,91683514,70268358447,70268358447
22191,1083524811,124726610,36832999,,1977335,4314517,1251376272,1251376272
22192,1449610336,168080314,355368521,57209,8512408,17872492,1999501280,1999501280
22199,4910409452,971384786,283814663,818486,6973495,54244369,6227645251,6227645251
22210,709792390,76833911,46157266,91050,5887134,906026,839667777,839667777
22220,19153505625,2124581399,1097250850,194684,318096344,91824321,22785453223,22785453223
22230,1849096500,128161277,71872609,,15481591,17315072,2081927049,2081927049
22291,5603526838,244249473,81296451,3376889,12216954,31112646,5975779251,5975779251
22292,1310720756,178469248,94509490,,5579548,5235846,1594514888,1594514888
22293,2985347556,647589662,243128366,2278752,119686839,273710348,4271741523,4271741523
22299,4153905300,450208940,142303505,5586,17041899,13663005,4777128235,4777128235
23111,1048361883,349120821,198872372,,,36189516,1632544592,1632544592
23112,441551457,79350781,86801454,3107172,77010010,2135004,689955878,689955878
23119,14738760,2499268,1482013,,,192572,18912613,18912613
23121,505912635,229463542,76344286,,,949138,812669601,812669601
23122,11049551,1971699,4731649,,95046,62250,17910195,17910195
23123,1095320268,297713755,27511758,,35847651,21912076,1478305508,1478305508
23129,176977258,48866898,21483291,2350213,27525986,1217,277204863,277204863
23911,124144929,18622217,4620554,,770510,859256,149017466,149017466
23919,,,,,,,,
23921,97162928,43598765,5079615,,2298284,1565757,149705349,149705349
23922,200810418,191866521,7990996,,22906531,1124182,424698648,424698648
23923,8432259663,3730377921,1103679934,250,2407479,39245986,13307971233,13307971233
23929,3213674217,1603878439,553744180,7592,1701988,11613827,5384620243,5384620243
23931,332374384,249878486,84360634,,3128584,8302216,678044304,678044304
23932,27504659,28004290,15197433,450,241029,224998,71172859,71172859
23933,,,,,,,,
23939,45159326,2184996,2205156,,2558260,284000,52391738,52391738
23941,3668289541,3280738469,944491924,16792746,46673724,104670710,8061657114,8061657114
23942,145487565,96095803,11477963,,654101,433040,254148472,254148472
