grup,sektor,n_kbli,n_perusahaan,tk,upah_per_pekerja,ULC,produktivitas,energi_per_pekerja,X_usd,X_kg,Px,Pm,nilai_output
101,Resource Intensive,3,67,8539.0,19560693.52383183,0.13133431200176632,148938180.93453565,5268025.295702073,19315878.0,4189417.0,4.610636277076261,1.8959280289813285,2345580691.0
102,Resource Intensive,13,892,114279.0,23480127.223724395,0.3261501975277392,71991761.46973635,8558145.284785481,2290218941.0,751393999.0,3.047960116860076,1.2390512983606699,34056163106.0
103,Resource Intensive,9,228,35718.0,32169915.588778768,0.5606645116081685,57378191.27610728,8263079.791701663,354347903.0,305084721.0,1.1614737763285103,1.3189824648028774,5346007106.0
104,Resource Intensive,11,694,181262.0,39471524.561132506,0.05668503312153679,696330625.3434255,33459225.397490926,21742676852.0,26150033530.0,0.8314588517470249,0.5511151498259418,424581357966.0
105,Resource Intensive,5,48,13013.0,16868217.167447936,0.061570795250900014,273964581.72596633,110022728.3485745,98394716.0,57588875.0,1.7085715947741642,2.3597166810166974,15736301325.0
106,Resource Intensive,16,761,97664.0,18699273.775393184,0.19340423869027312,96684922.22313237,18067878.2560616,136740328.0,162036217.0,0.8438874378312596,0.505340267553189,60960351726.0
107,Resource Intensive,22,2876,408060.0,24090076.753418613,0.19978901824692355,120577582.11537519,13347819.237367054,3035474945.0,1303219167.0,2.3292129381335287,0.8741171431125561,106513991391.0
108,Resource Intensive,2,96,23890.0,44022865.80159062,0.06480654843115757,679296565.9690247,155538778.65215573,21052336.0,24948924.0,0.8438173926859531,0.8348697981254773,65931426659.0
110,Resource Intensive,6,345,46497.0,27064848.635395832,0.1269500833295048,213192838.67776415,16201488.891756458,84966840.0,98840953.0,0.8596319381906404,0.7874782723313163,17654486092.0
120,Resource Intensive,5,945,324614.0,21443782.332246915,0.10498935618102359,204247202.88096017,4949197.982834998,732537409.0,89846930.0,8.153171276970733,5.738772581300248,161073299580.0
131,Labor Intensive,9,1571,363096.0,19588491.024412278,0.1791686354288137,109329911.32923524,27124638.775971092,3347530848.0,794685913.0,4.21239485089501,7.375185783997257,118140895301.0
139,Labor Intensive,18,675,119004.0,25741725.34536654,0.4044008567944345,63653983.2022453,15997863.878525091,751662435.0,157379599.0,4.776111006611473,5.919799732458316,22452201419.0
141,Labor Intensive,5,1896,536968.0,20152565.79349235,0.26992573925349284,74659666.948496,4871713.714783749,6292099769.0,383711656.0,16.397989663884488,8.052602757324719,64059244814.0
143,Labor Intensive,3,351,63121.0,20586877.520951822,0.3556618838852695,57883283.12289096,5149252.166473915,962291222.0,68631575.0,14.021115237410768,16.244946747787314,7926694905.0
151,Labor Intensive,6,230,32060.0,22833456.48783531,0.25201000722208905,90605356.2694947,6118120.087336245,346525982.0,24187359.0,14.326739103678083,7.3273832311127025,7572662675.0
152,Labor Intensive,4,454,224440.0,26756131.21101408,0.2612448258206391,102417841.68151845,14819571.453395117,3520102645.0,198893895.0,17.698394639010917,6.394885375036947,60890592419.0
161,Labor Intensive,4,323,26931.0,18145346.99788348,0.337805251487122,53715408.26556756,12771262.262819799,689053674.0,1827184127.0,0.37711233576187914,0.6530250413294334,4664257387.0
162,Labor Intensive,13,789,198525.0,23960862.783024807,0.2637597311693209,90843521.40032741,10439793.814381061,2753694003.0,2376203461.0,1.1588628870362545,0.5675090232103025,46214699930.0
