tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
2006,Rev3,15111,151,15,19,0,0,394244572,222870124,171374448,0,0,0,0,0,0,0,0,,,,,,,0.0
2007,Rev3,15111,151,15,18,2776,56188202,893211180,612473670,280737510,57493077,176474284,418281863,25844000,0,0,7,0,0.2001,20240707,101130227,20710763,63571428,0.0618,0.0
2009,Rev3,15111,151,15,20,1420,20384520,733984763,528372675,205612088,35969861,13896796,478947324,0,0,0,3,0,0.0991,14355296,144797245,25330888,9786476,0.0,0.0
2010,Rev3,15111,151,15,19,1036,15631260,1093727912,892010115,201717797,14500617,30025072,802015856,0,0,0,3,0,0.0775,15088089,194708298,13996735,28981730,0.0,0.0
2006,Rev3,15112,151,15,34,0,0,880622069,639552576,241069493,0,0,0,0,57881442,2,0,0,,,,,,,0.0657
2007,Rev3,15112,151,15,45,6519,82577509,913842777,609836006,304006771,118078295,12900347,537872968,41014022,19644118,1,8,4,0.2716,12667205,46633958,18112946,1978884,0.0763,0.0215
2009,Rev3,15112,151,15,36,5333,108620052,1840774351,1200929026,639845325,42358980,37335837,1021491065,49241386,29000000,1,7,2,0.1698,20367533,119978497,7942805,7000907,0.0482,0.0158
2010,Rev3,15112,151,15,46,5790,86592971,1293154953,821504743,471650210,54520362,24090180,709704933,103348251,0,0,14,2,0.1836,14955608,81459449,9416297,4160653,0.1456,0.0
2006,Rev3,15121,151,15,43,0,0,3669269886,2891066956,778202930,0,0,0,0,1804460513,17,0,0,,,,,,,0.4918
2007,Rev3,15121,151,15,61,20401,151841743,2951479517,2164027881,787451636,84620958,62596402,1856902902,189582265,756558465,17,24,7,0.1928,7442858,38598678,4147883,3068301,0.1021,0.2563
2009,Rev3,15121,151,15,44,22332,264918114,3491281668,2451598824,1039682844,62351511,67170152,2078205641,333341317,1840124710,26,23,7,0.2548,11862713,46555743,2792025,3007798,0.1604,0.5271
2010,Rev3,15121,151,15,47,23339,221991987,5131168641,3659807407,1471361234,115860327,182090723,3181630566,333519042,1387786150,25,22,8,0.1509,9511632,63043028,4964237,7801993,0.1048,0.2705
2006,Rev3,15122,151,15,173,0,0,756722375,605364227,151358148,0,0,0,0,272406016,38,0,0,,,,,,,0.36
2007,Rev3,15122,151,15,157,9607,40777618,763208668,560193294,203015374,6825756,9292481,528207194,0,222051494,22,48,3,0.2009,4244574,21132026,710498,967261,0.0,0.2909
2009,Rev3,15122,151,15,134,6031,31617626,1080611757,440678493,639933264,6533175,10049909,417259176,0,764564499,39,20,3,0.0494,5242518,106107323,1083266,1666375,0.0,0.7075
2010,Rev3,15122,151,15,105,4954,30691115,710669886,547540306,163129580,2747883,28662484,459076148,52703,299812039,24,16,2,0.1881,6195219,32928862,554680,5785725,0.0001,0.4219
2006,Rev3,15123,151,15,34,0,0,34807802,22655414,12152388,0,0,0,0,3763484,2,0,0,,,,,,,0.1081
2007,Rev3,15123,151,15,20,590,4325020,39841774,31920326,7921448,46575,1538062,28648421,0,899892,2,2,1,0.546,7330542,13426183,78941,2606885,0.0,0.0226
