kbli,sektor,divisi,bahan_baku_penolong,biaya_energi,sewa,jasa_pihak_lain,representasi_royalti,pengeluaran_lainnya,biaya_input_T7,biaya_input_T9,energi_per_pekerja_rp,pangsa_energi,pangsa_bahan_baku
10110,Resource Intensive,10,4755046,1538628,5853851,,20062,6437,12174024,12174024,2526483,0.1264,0.3906
10120,Resource Intensive,10,138454604,8049343,4933742,,72014,342366,151852069,151852069,21638019,0.053,0.9118
10130,Resource Intensive,10,820658539,35395697,42554180,19371,298626,1689201,900615614,900615614,4683209,0.0393,0.9112
10211,Resource Intensive,10,208796639,16204920,23469592,,545079,168248,249184478,249184478,2563258,0.065,0.8379
10212,Resource Intensive,10,179608190,6680296,8039162,,118092,,194445740,194445740,9809539,0.0344,0.9237
10213,Resource Intensive,10,7863366389,424121467,202023304,90938,1684501,40709570,8531996169,8531996169,15643312,0.0497,0.9216
10214,Resource Intensive,10,364640811,9179755,11785448,774,348296,81568,386036652,386036652,2726390,0.0238,0.9446
10217,Resource Intensive,10,9824978,625654,155421214,,23994,5052,165900892,165900892,2502616,0.0038,0.0592
10218,Resource Intensive,10,27812178,1142321,9620170,,,200824,38775493,38775493,1741343,0.0295,0.7173
10219,Resource Intensive,10,1670135294,76648846,32340826,4225665,723585,632179,1784706395,1784706395,7727477,0.0429,0.9358
10221,Resource Intensive,10,5096525659,168950443,460093372,1143974,129398062,28251428,5884362938,5884362938,8477618,0.0287,0.8661
10222,Resource Intensive,10,631073016,24620142,5800600,,1979955,796248,664269961,664269961,7453873,0.0371,0.95
10291,Resource Intensive,10,252937149,8952540,5820843,,58464,83263,267852259,267852259,5066520,0.0334,0.9443
10293,Resource Intensive,10,5661455512,227431093,150187701,186719,11235841,37464831,6087961697,6087961697,6349631,0.0374,0.9299
10294,Resource Intensive,10,,,,,,,,,,,
10299,Resource Intensive,10,267011839,13458808,3509321,,1985327,865840,286831135,286831135,2610826,0.0469,0.9309
10311,Resource Intensive,10,13988705,2697348,1465628,,221,43076,18194978,18194978,4715643,0.1482,0.7688
10312,Resource Intensive,10,412795402,52330913,79694839,,2024091,2708560,549553805,549553805,20999564,0.0952,0.7511
10313,Resource Intensive,10,409601570,3518893,6840,,,,413127303,413127303,4465600,0.0085,0.9915
10314,Resource Intensive,10,193207596,31602881,1033753,,,262647,226106877,226106877,9467610,0.1398,0.8545
10320,Resource Intensive,10,1026241692,76266084,21162148,,,803448,1124473372,1124473372,4549668,0.0678,0.9126
10330,Resource Intensive,10,16466132,6791648,645353,10000,97450,,24010583,24010583,15400562,0.2829,0.6858
10391,Resource Intensive,10,10094808,1036020,74652,,,,11205480,11205480,2590050,0.0925,0.9009
10392,Resource Intensive,10,775032452,119754643,6798041,55535,826694,325311,902792676,902792676,11318964,0.1326,0.8585
10399,Resource Intensive,10,15777223,1142254,2392392,,397,109931,19422197,19422197,3320506,0.0588,0.8123
10411,Resource Intensive,10,13474107177,436347362,3555421765,,102209835,7245988,17575332127,17575332127,103277482,0.0248,0.7666
10412,Resource Intensive,10,,,,,,,,,,,
10413,Resource Intensive,10,,,,,,,,,,,
10415,Resource Intensive,10,,,,,,,,,,,
10421,Resource Intensive,10,106154586,1172753,1614450,,,1380,108943169,108943169,579997,0.0108,0.9744
10422,Resource Intensive,10,2987654451,201600095,50648976,,19500910,631420,3260035852,3260035852,70000033,0.0618,0.9164
10423,Resource Intensive,10,6051219457,596913915,582279543,,359415220,2683020,7592511155,7592511155,222729073,0.0786,0.797
