isic4,X_usd,X_kg,M_usd,M_kg,n_hs_X,n_hs_M,Px_usd_per_kg,Pm_usd_per_kg
0111,67974158.0,251481130.0,4154523815.0,10096686244.0,31,45,0.2703,0.4115
0112,267192.0,326840.0,29140271.0,23764153.0,1,1,0.8175,1.2262
0113,63534463.0,145528043.0,388095971.0,694885010.0,32,30,0.4366,0.5585
0114,736.0,299.0,0.0,0.0,1,0,2.4615,
0115,59618744.0,12457967.0,248758528.0,47536799.0,1,1,4.7856,5.233
0116,16517883.0,46733692.0,1339135903.0,615366050.0,4,4,0.3534,2.1762
0119,22037329.0,7446239.0,2613568.0,754717.0,9,8,2.9595,3.463
0121,0.0,0.0,122686092.0,59448541.0,0,1,,2.0637
0122,23627821.0,26872785.0,210149034.0,181530374.0,10,10,0.8792,1.1577
0123,359844.0,853833.0,206557916.0,215714598.0,4,5,0.4214,0.9576
0124,80141.0,56631.0,275617616.0,315207548.0,4,8,1.4151,0.8744
0125,229667931.0,276503984.0,15286018.0,5980307.0,12,13,0.8306,2.5561
0126,66851280.0,209016799.0,3053058.0,2466322.0,4,4,0.3198,1.2379
0127,1745200220.0,668080431.0,206382263.0,100254991.0,5,5,2.6123,2.0586
0128,614893235.0,153087188.0,183757664.0,82301556.0,24,23,4.0166,2.2327
0129,7893251827.0,2715406604.0,71813421.0,28580117.0,8,8,2.9068,2.5127
0130,9967149.0,5441751.0,5301425.0,1113336.0,5,6,1.8316,4.7617
0141,22457294.0,43979219.0,299788112.0,109673622.0,6,9,0.5106,2.7335
0144,105466.0,37848.0,10163833.0,6291494.0,4,5,2.7866,1.6155
0145,62124790.0,35370257.0,15980.0,1600.0,1,1,1.7564,9.9875
0146,0.0,0.0,18493.0,536.0,0,5,,34.5019
0149,167928218.0,4735372.0,10157609.0,2443228.0,13,9,35.4625,4.1575
0210,0.0,0.0,15033181.0,106540961.0,0,6,,0.1411
0220,105869737.0,246778510.0,2489751.0,5974291.0,3,2,0.429,0.4167
